RegionNUM,Region,Año,Cantidad_de_presonas,Tipo,netchange,ABSCANT
1,Central,2021,-6269,Migracioninterna,14798,6269
2,Chorotega,2021,-2490,Migracioninterna,1982,2490
3,Pacifico Central,2021,3648,Migracioninterna,6945,3648
4,Brunca,2021,953,Migracioninterna,3922,953
5,Huetar Caribe,2021,252,Migracioninterna,5560,252
6,Huetar Norte,2021,3906,Migracioninterna,9063,3906
1,Central,2020,-8850,Migracioninterna,17381,8850
2,Chorotega,2020,-589,Migracioninterna,3981,589
3,Pacifico Central,2020,4132,Migracioninterna,7552,4132
4,Brunca,2020,2054,Migracioninterna,5771,2054
5,Huetar Caribe,2020,727,Migracioninterna,4916,727
6,Huetar Norte,2020,2526,Migracioninterna,8700,2526
1,Central,2019,-378,Migracioninterna,39879,378
2,Chorotega,2019,-2299,Migracioninterna,2978,2299
3,Pacifico Central,2019,-492,Migracioninterna,4042,492
4,Brunca,2019,26,Migracioninterna,3750,26
5,Huetar Caribe,2019,826,Migracioninterna,8354,826
6,Huetar Norte,2019,2317,Migracioninterna,12747,2317
1,Central,2018,8330,Migracioninterna,60940,8330
2,Chorotega,2018,-3139,Migracioninterna,3382,3139
3,Pacifico Central,2018,-4285,Migracioninterna,1512,4285
4,Brunca,2018,-3520,Migracioninterna,1528,3520
5,Huetar Caribe,2018,262,Migracioninterna,8174,262
6,Huetar Norte,2018,2352,Migracioninterna,13740,2352
1,Central,2017,4099,Migracioninterna,45762,4099
2,Chorotega,2017,-4567,Migracioninterna,1629,4567
3,Pacifico Central,2017,-349,Migracioninterna,4012,349
4,Brunca,2017,-2512,Migracioninterna,2632,2512
5,Huetar Caribe,2017,-1403,Migracioninterna,6188,1403
6,Huetar Norte,2017,4732,Migracioninterna,11785,4732
1,Central,2016,8218,Migracioninterna,55922,8218
2,Chorotega,2016,-3003,Migracioninterna,2641,3003
3,Pacifico Central,2016,-2713,Migracioninterna,2014,2713
4,Brunca,2016,154,Migracioninterna,5783,154
5,Huetar Caribe,2016,-4959,Migracioninterna,1999,4959
6,Huetar Norte,2016,2303,Migracioninterna,12068,2303
1,Central,2015,5241,Migracioninterna,48332,5241
2,Chorotega,2015,-3945,Migracioninterna,956,3945
3,Pacifico Central,2015,1791,Migracioninterna,6366,1791
4,Brunca,2015,-3764,Migracioninterna,957,3764
5,Huetar Caribe,2015,483,Migracioninterna,7661,483
6,Huetar Norte,2015,194,Migracioninterna,9133,194
1,Central,2021,10491,International,14798,10491
2,Chorotega,2021,2085,International,1982,2085
3,Pacifico Central,2021,1744,International,6945,1744
4,Brunca,2021,393,International,3922,393
5,Huetar Caribe,2021,1732,International,5560,1732
6,Huetar Norte,2021,1237,International,9063,1237
1,Central,2020,10314,International,17381,10314
2,Chorotega,2020,1294,International,3981,1294
3,Pacifico Central,2020,1146,International,7552,1146
4,Brunca,2020,788,International,5771,788
5,Huetar Caribe,2020,176,International,4916,176
6,Huetar Norte,2020,1507,International,8700,1507
1,Central,2019,19391,International,39879,19391
2,Chorotega,2019,1368,International,2978,1368
3,Pacifico Central,2019,2051,International,4042,2051
4,Brunca,2019,261,International,3750,261
5,Huetar Caribe,2019,2680,International,8354,2680
6,Huetar Norte,2019,5076,International,12747,5076
1,Central,2018,29563,International,60940,29563
2,Chorotega,2018,2490,International,3382,2490
3,Pacifico Central,2018,2807,International,1512,2807
4,Brunca,2018,992,International,1528,992
5,Huetar Caribe,2018,2464,International,8174,2464
6,Huetar Norte,2018,5356,International,13740,5356
1,Central,2017,17966,International,45762,17966
2,Chorotega,2017,2121,International,1629,2121
3,Pacifico Central,2017,1495,International,4012,1495
4,Brunca,2017,981,International,2632,981
5,Huetar Caribe,2017,1873,International,6188,1873
6,Huetar Norte,2017,1172,International,11785,1172
1,Central,2016,22249,International,55922,22249
2,Chorotega,2016,1426,International,2641,1426
3,Pacifico Central,2016,1927,International,2014,1927
4,Brunca,2016,1545,International,5783,1545
